StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q14,Q12,Q15,Q16,Q17,Q18,Q19,Q1,Q4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q10,MTurkCode
2019-04-11 11:39:41,2019-04-11 11:43:45,IP Address,174.86.150.37,100,244,True,2019-04-11 11:43:45,R_12f2G2xStcb3mkC,,,,,38.7942962646484375,-90.28170013427734375,anonymous,EN,I consent,2,4-2-12082-11845-39733-L,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Female,25 - 34,No,White,Some college,Never married,Employed part time,"Less than $10,000",Right,63101,36576443
2019-04-11 11:30:17,2019-04-11 11:45:03,IP Address,31.17.253.138,100,886,True,2019-04-11 11:45:04,R_UclM7ultnwPDK1P,,,,,52.2738037109375,8.052093505859375,anonymous,EN,I consent,2,2-6-24452-10417-386649-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,No,White,Some college,Never married,Student,"$40,000 - $49,999",Right,na,83140336
2019-04-11 11:39:10,2019-04-11 11:51:57,IP Address,157.51.172.27,100,767,True,2019-04-11 11:51:58,R_3qUJgOhQAcXlrYO,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,2,4-9-18789-20096-1555005038887-L,No,No,Yes,Extremely satisfied,Very intuitive,Male,18 - 24,No,Asian,4 year degree,Never married,Employed full time,"Less than $10,000",Right,na,99855122
2019-04-11 12:23:55,2019-04-11 12:30:43,IP Address,216.255.46.82,100,407,True,2019-04-11 12:30:43,R_3KI73PDnIJHb7jr,,,,,41.825897216796875,-84.10160064697265625,anonymous,EN,I consent,5,11-1-20897-13829-1555007231577-L,Yes,Yes,Yes,Slightly dissatisfied,Not intuitive at all,Female,25 - 34,No,White,4 year degree,Never married,Employed full time,"$30,000 - $39,999",Left,49289,46754568
2019-04-11 12:21:53,2019-04-11 12:32:31,IP Address,24.90.98.146,100,637,True,2019-04-11 12:32:31,R_3nAB4yiqjaidKwM,,,,,40.76519775390625,-73.95880126953125,anonymous,EN,I consent,2,5-1-9681-7356-46657-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,18 - 24,No,Other,4 year degree,Never married,Employed part time,"$20,000 - $29,999",Left,07030,18662517
2019-04-11 12:28:44,2019-04-11 12:38:23,IP Address,157.51.116.209,100,579,True,2019-04-11 12:38:24,R_3OrnkfVLARr224K,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I consent,0,7-11-11867-28186-24049-R,Yes,Yes,No,Extremely satisfied,Very intuitive,Male,25 - 34,Yes,American Indian or Alaska Native,4 year degree,Never married,Employed full time,"Less than $10,000",Right,32052,22108554
2019-04-11 12:43:10,2019-04-11 12:59:46,IP Address,157.46.9.127,100,996,True,2019-04-11 12:59:46,R_2agzmZwh6Y11Dp9,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I consent,2,2-6-21210-13342-83566-L,No,Yes,No,Moderately satisfied,Very intuitive,Female,25 - 34,No,Asian,Professional degree,Never married,Employed full time,"Less than $10,000",Right,na,84886223
2019-04-11 13:33:06,2019-04-11 13:38:15,IP Address,76.178.34.93,100,308,True,2019-04-11 13:38:15,R_2f2wfEz4PABUyZB,,,,,32.7093048095703125,-114.49050140380859375,anonymous,EN,I consent,2,2-5-22360-11736-60286-L,Yes,Yes,Yes,Moderately dissatisfied,Not intuitive at all,Male,35 - 44,No,White,4 year degree,Never married,Employed part time,"Less than $10,000",Right,85367,4701950
2019-04-11 13:34:30,2019-04-11 13:41:36,IP Address,87.9.117.200,100,425,True,2019-04-11 13:41:36,R_1Fz7LoSoeOB1y6G,,,,,45.808197021484375,9.0832061767578125,anonymous,EN,I consent,19,9-2-34624-14940-1555011466024-L,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Female,25 - 34,No,White,4 year degree,Never married,Unemployed looking for work,"$50,000 - $59,999",Right,na,5164143
2019-04-11 13:36:38,2019-04-11 13:42:06,IP Address,99.173.146.108,100,328,True,2019-04-11 13:42:07,R_2YKVzDx793UY1BE,,,,,35.8845977783203125,-78.63849639892578125,anonymous,EN,I consent,2,10-4-16780-9499-1555011497736-L,Yes,Yes,Yes,Moderately dissatisfied,Slightly intuitive,Male,18 - 24,Yes,White,2 year degree,Never married,Unemployed looking for work,"Less than $10,000",Right,27614,20774058
2019-04-11 13:27:32,2019-04-11 13:43:13,IP Address,137.97.169.218,100,940,True,2019-04-11 13:43:14,R_1BXW8Tv5lpiQ2nd,,,,,10.516693115234375,76.216705322265625,anonymous,EN,I consent,2,0-5-23329-11090-9808-R,No,No,No,Slightly satisfied,Moderately intuitive,Male,18 - 24,No,Asian,High school graduate,Married,Employed full time,"Less than $10,000",Right,na,83146974
2019-04-11 14:26:51,2019-04-11 14:32:45,IP Address,189.25.72.68,100,354,True,2019-04-11 14:32:45,R_NWGg6gEOhjII14B,,,,,-22.8863983154296875,-42.0287933349609375,anonymous,EN,I consent,2,6-1-15007-10752-1555014631618-R,No,No,No,Extremely satisfied,Extremely intuitive,Male,25 - 34,Yes,White,4 year degree,Never married,Employed full time,"$40,000 - $49,999",Right,na,22175200
2019-04-11 14:28:20,2019-04-11 14:36:09,IP Address,129.7.0.82,100,468,True,2019-04-11 14:36:09,R_1OThEdyjY6OGRls,,,,,29.8365020751953125,-95.43630218505859375,anonymous,EN,I consent,2,0-7-11554-18713-1555014725085-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,18 - 24,No,Asian,Some college,Never married,Student,"$60,000 - $69,999",Left,77498,71945768
2019-04-11 14:44:34,2019-04-11 14:51:07,IP Address,132.210.178.34,100,393,True,2019-04-11 14:51:07,R_3Oc88eM4RD8juxX,,,,,45.3822021484375,-71.93270111083984375,anonymous,EN,I consent,2,15-6-28784-19778-24060-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,No,White,Professional degree,Never married,Employed full time,"$20,000 - $29,999",Right,na,23357592
2019-04-11 15:25:49,2019-04-11 15:31:07,IP Address,85.152.169.96,100,318,True,2019-04-11 15:31:08,R_4YJZDiYv725Sn9T,,,,,43.53570556640625,-5.6614990234375,anonymous,EN,I consent,2,6-4-25917-11283-25876-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Not intuitive at all,Male,35 - 44,No,White,4 year degree,Never married,Employed full time,"$10,000 - $19,999",Right,na,74644006
2019-04-11 15:46:54,2019-04-11 15:54:20,IP Address,5.81.182.221,100,445,True,2019-04-11 15:54:21,R_2Cwhzeh3oXTCF9W,,,,,51.2967071533203125,1.085906982421875,anonymous,EN,I consent,1,3-8-8790-13994-48672-L,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Male,18 - 24,No,White,2 year degree,Never married,Student,"$10,000 - $19,999",Left,na,55916525
2019-04-11 16:56:38,2019-04-11 17:04:34,IP Address,71.56.132.218,100,475,True,2019-04-11 17:04:34,R_3KoRuNyL6wj0jlB,,,,,45.5220947265625,-122.8585052490234375,anonymous,EN,I consent,19,13-0-8414-7546-74014-R,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Male,18 - 24,No,Native Hawaiian or Pacific Islander,2 year degree,Never married,Unemployed looking for work,"Less than $10,000",Right,97401,53346214
2019-04-11 16:54:27,2019-04-11 17:07:18,IP Address,86.45.47.219,100,771,True,2019-04-11 17:07:19,R_3pr5126tAooRWg2,,,,,53.2682952880859375,-8.9199981689453125,anonymous,EN,I consent,19,9-2-35947-35336-47205-L,Yes,Yes,Yes,Slightly dissatisfied,Slightly intuitive,Male,35 - 44,No,White,High school graduate,Married,Employed full time,"$20,000 - $29,999",Right,90210,33404684
2019-04-11 16:14:22,2019-04-11 17:10:19,IP Address,146.71.77.78,100,3357,True,2019-04-11 17:10:20,R_3nre7w1aFceflZG,,,,,34.197906494140625,-118.53710174560546875,anonymous,EN,I consent,19,13-6-951675-50086-326719-R,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Female,18 - 24,Yes,Asian,Some college,Never married,Employed full time,"$10,000 - $19,999",Both,20120,62553000
2019-04-11 16:57:08,2019-04-11 17:12:47,IP Address,174.53.158.17,100,939,True,2019-04-11 17:12:47,R_3eg0JfvHesBAfEa,,,,,45.0800018310546875,-93.02269744873046875,anonymous,EN,I consent,2,21-6-16636-35292-47084-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,35 - 44,No,White,4 year degree,Married,Employed full time,"$90,000 - $99,999",Right,55110,93772931
2019-04-11 18:44:51,2019-04-11 18:55:58,IP Address,138.94.191.158,100,666,True,2019-04-11 18:55:58,R_6gvcnjhv7gDhVXb,,,,,-28.7270965576171875,-49.227996826171875,anonymous,EN,I consent,2,0-6-55003-16841-20632-R,Yes,No,Yes,Extremely satisfied,Extremely intuitive,Male,25 - 34,Yes,White,4 year degree,Married,Employed full time,"$20,000 - $29,999",Right,Na,59841723
2019-04-11 19:10:04,2019-04-11 19:20:08,IP Address,104.182.42.97,100,603,True,2019-04-11 19:20:08,R_cAVRov6ymOYEYjn,,,,,34.827301025390625,-86.74990081787109375,anonymous,EN,I consent,2,1-5-54249-28739-39113-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,18 - 24,No,Black or African American,2 year degree,Never married,Student,"$30,000 - $39,999",Right,35749,21431688
2019-04-11 19:39:05,2019-04-11 19:47:34,IP Address,117.221.209.179,100,509,True,2019-04-11 19:47:35,R_22VMUId9NEmKCSp,,,,,11.350006103515625,77.733306884765625,anonymous,EN,I consent,2,4-8-14753-20298-72314-L,No,No,No,Moderately satisfied,Moderately intuitive,Male,45 - 54,No,Asian,4 year degree,Married,Employed full time,"$20,000 - $29,999",Right,na,32485444
2019-04-11 19:46:28,2019-04-11 19:53:37,IP Address,47.247.110.50,100,428,True,2019-04-11 19:53:37,R_24jhCW9KEF8uv1h,,,,,23.266693115234375,77.399993896484375,anonymous,EN,I consent,2,1-6-40011-19824-33505-R,Yes,Yes,No,Slightly satisfied,Moderately intuitive,Male,18 - 24,No,Asian,4 year degree,Never married,Employed full time,"$60,000 - $69,999",Right,na,79159555
2019-04-11 20:29:31,2019-04-11 20:38:41,IP Address,98.230.199.234,100,550,True,2019-04-11 20:38:42,R_2U4NYStzZbQtD6g,,,,,35.1013031005859375,-106.52469635009765625,anonymous,EN,I consent,7,11-3-32692-9747-66026-R,Yes,Yes,Yes,Moderately dissatisfied,Not intuitive at all,Male,25 - 34,No,White,Professional degree,Never married,Employed full time,"$90,000 - $99,999",Right,87107,96349248
2019-04-11 20:40:09,2019-04-11 20:45:13,IP Address,163.53.72.130,100,304,True,2019-04-11 20:45:14,R_ToxNpMLuJMrP0xb,,,,,21.233306884765625,81.63330078125,anonymous,EN,I consent,2,1-6-14945-17224-1555036971929-L,Yes,Yes,Yes,Slightly dissatisfied,Slightly intuitive,Male,18 - 24,No,Asian,4 year degree,Married,Employed full time,"$50,000 - $59,999",Right,80014,22054440
2019-04-11 20:37:19,2019-04-11 20:50:03,IP Address,174.1.109.93,100,764,True,2019-04-11 20:50:03,R_wNMMtmb5wO8E97b,,,,,49.0791015625,-122.7552947998046875,anonymous,EN,I consent,2,19-1-52360-18672-96424-L,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,35 - 44,No,Asian,Professional degree,Married,Employed full time,"$80,000 - $89,999",Right,na,79301568
2019-04-11 20:58:29,2019-04-11 21:04:02,IP Address,116.90.122.146,100,333,True,2019-04-11 21:04:03,R_0HS4Im4E2YUUpOx,,,,,31.49090576171875,74.36810302734375,anonymous,EN,I consent,2,1-3-13608-7833-13184-R,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Male,25 - 34,No,White,4 year degree,Married,Employed full time,"$40,000 - $49,999",Right,35758,73475038
2019-04-11 21:22:55,2019-04-11 21:38:40,IP Address,23.88.195.98,100,945,True,2019-04-11 21:38:40,R_vTygkBEU7qvPy8h,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,I consent,2,5-6-13360-33520-45802-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,25 - 34,Yes,White,4 year degree,Married,Employed full time,"Less than $10,000",Right,40215,59748826
2019-04-11 21:42:18,2019-04-11 21:52:46,IP Address,171.61.176.129,100,627,True,2019-04-11 21:52:46,R_2sS8vk3U2nwrLn4,,,,,28.6013946533203125,77.19891357421875,anonymous,EN,I consent,2,2-6-15722-17537-16754-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,No,Asian,4 year degree,Married,Employed full time,"$70,000 - $79,999",Right,37128,26631006
2019-04-12 00:22:35,2019-04-12 00:37:39,IP Address,196.19.176.203,100,903,True,2019-04-12 00:37:39,R_3EoINAwkSAWgmSa,,,,,39.099700927734375,-94.5785980224609375,anonymous,EN,I consent,2,1-6-44029-15519-37799-L,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Male,25 - 34,Yes,White,4 year degree,Married,Employed full time,"$80,000 - $89,999",Right,33131,12822814
2019-04-12 00:09:14,2019-04-12 00:56:31,IP Address,182.72.214.82,100,2836,True,2019-04-12 00:56:31,R_3JERcoWrPWLfkzq,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,11,9-4-22036-17318-155519-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Female,18 - 24,Yes,Asian,Professional degree,Married,Employed full time,"$40,000 - $49,999",Right,60406,3721777
2019-04-12 00:46:22,2019-04-12 01:01:41,IP Address,182.72.214.82,100,919,True,2019-04-12 01:01:42,R_3I3QbtXmR0DS3wk,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,10,6-7-5973-6455-22897-L,Yes,Yes,Yes,Moderately dissatisfied,Extremely intuitive,Female,25 - 34,Yes,Asian,Professional degree,Married,Employed full time,"$50,000 - $59,999",Left,60406,85984933
2019-04-12 00:54:26,2019-04-12 01:02:08,IP Address,182.72.214.82,100,461,True,2019-04-12 01:02:08,R_3Em0T3QURusWPN8,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,17,1-6-23648-29284-99984-R,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Female,18 - 24,No,Asian,4 year degree,Married,Employed full time,"$60,000 - $69,999",Right,60406,36191898
2019-04-12 01:33:09,2019-04-12 01:35:28,IP Address,182.72.214.82,100,138,True,2019-04-12 01:35:30,R_3dT9ceZsp4G7UIn,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,12,2-6-13008-33595-5315-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Female,18 - 24,Yes,Asian,Professional degree,Married,Employed full time,"$90,000 - $99,999",Left,60406,97436129
2019-04-12 02:25:21,2019-04-12 02:28:27,IP Address,182.72.214.82,100,186,True,2019-04-12 02:28:28,R_2s0SK8XEAB548WZ,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,17,1-9-4603-19919-2851-R,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Female,18 - 24,No,Asian,4 year degree,Married,Employed full time,"$70,000 - $79,999",Right,60406,49340724
2019-04-12 02:25:36,2019-04-12 02:51:42,IP Address,182.72.214.82,100,1565,True,2019-04-12 02:51:43,R_2teTZg7pTSu1RZw,,,,,12.983306884765625,77.58331298828125,anonymous,EN,I consent,11,133-7-13408-48042-11777-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,Under 18,Yes,Asian,2 year degree,Married,Employed full time,"$10,000 - $19,999",Right,60406,1682384
2019-04-12 04:46:26,2019-04-12 04:51:13,IP Address,72.10.213.91,100,286,True,2019-04-12 04:51:13,R_1gkzG1rmWRv4NtA,,,,,43.302398681640625,-74.99770355224609375,anonymous,EN,I consent,7,0-5-10141-9527-15102-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,25 - 34,No,White,Less than high school,Never married,Unemployed looking for work,"$30,000 - $39,999",Right,13324,88600898
2019-04-12 06:32:17,2019-04-12 06:36:51,IP Address,67.66.139.22,100,274,True,2019-04-12 06:36:51,R_1IsGUnrVJdGxGWW,,,,,38.714202880859375,-90.27590179443359375,anonymous,EN,I consent,2,4-1-21824-14121-12577-L,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,35 - 44,No,Black or African American,2 year degree,Married,Employed full time,"$50,000 - $59,999",Right,63043,83824216
2019-04-12 09:22:11,2019-04-12 09:30:16,IP Address,150.217.19.70,100,484,True,2019-04-12 09:30:17,R_1IQVfX2fnJRD3aj,,,,,43.779296875,11.246307373046875,anonymous,EN,I consent,2,8-3-21623-19371-9483-R,Yes,Yes,No,Moderately satisfied,Moderately intuitive,Male,35 - 44,No,White,Doctorate,Never married,Employed full time,"$10,000 - $19,999",Right,na,79014371
2019-04-12 09:31:50,2019-04-12 09:39:55,IP Address,85.245.242.62,100,485,True,2019-04-12 09:39:55,R_2xwS2osJoCm6ML8,,,,,38.7174072265625,-9.1320953369140625,anonymous,EN,I consent,2,4-5-17394-14558-58103-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,25 - 34,Yes,White,Professional degree,Married,Employed part time,"$40,000 - $49,999",Right,na,97354097
2019-04-12 09:28:11,2019-04-12 09:53:04,IP Address,104.244.227.115,100,1492,True,2019-04-12 09:53:04,R_3NPqVlYz8xt6u6K,,,,,17.9962005615234375,-76.80190277099609375,anonymous,EN,I consent,2,8-5-72521-42490-207374-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Male,25 - 34,No,Black or African American,4 year degree,Never married,Employed full time,"Less than $10,000",Right,Na,43469536
2019-04-12 09:46:53,2019-04-12 09:54:19,IP Address,73.61.20.116,100,446,True,2019-04-12 09:54:20,R_31KkpdMR5hXGm5g,,,,,42.7115020751953125,-71.16699981689453125,anonymous,EN,I consent,14,2-5-25723-21237-36863-R,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Slightly intuitive,Male,45 - 54,No,White,4 year degree,Never married,Employed full time,"$90,000 - $99,999",Right,01824,98982967
2019-04-12 15:01:04,2019-04-12 15:18:00,IP Address,207.200.138.134,100,1016,True,2019-04-12 15:18:01,R_2b0IjpACue0gBoj,,,,,49.1410064697265625,-122.856903076171875,anonymous,EN,I consent,19,9-7-26051-33678-1555103107487-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,35 - 44,No,Asian,4 year degree,Married,Unemployed looking for work,"$40,000 - $49,999",Right,na,10992760
2019-04-12 19:29:05,2019-04-12 19:34:36,IP Address,73.12.123.119,100,330,True,2019-04-12 19:34:36,R_2CexjiNP3iP87oc,,,,,37.38250732421875,-79.21810150146484375,anonymous,EN,I consent,2,6-1-19489-19940-1555119123864-L,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Female,35 - 44,No,White,4 year degree,Separated,Employed part time,"$50,000 - $59,999",Right,24502,11529229
2019-04-12 19:28:39,2019-04-12 19:35:26,IP Address,99.245.21.149,100,406,True,2019-04-12 19:35:26,R_1DAKjq9ec9GsoSL,,,,,43.597198486328125,-79.6930999755859375,anonymous,EN,I consent,2,5-3-31649-12641-21776-R,Yes,Yes,Yes,Slightly satisfied,Slightly intuitive,Male,18 - 24,No,Asian,Some college,Never married,Unemployed looking for work,"$90,000 - $99,999",Right,na,17596178
2019-04-12 20:06:32,2019-04-12 20:13:03,IP Address,137.59.252.170,100,390,True,2019-04-12 20:13:03,R_3mgTggQf2HfegGy,,,,,-33.8612060546875,151.198211669921875,anonymous,EN,I consent,7,6-5-10693-10105-84778-R,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Male,25 - 34,No,Asian,Professional degree,Never married,Employed full time,"More than $150,000",Right,na,80137119
2019-04-13 11:27:38,2019-04-13 11:31:59,IP Address,107.15.24.254,100,260,True,2019-04-13 11:31:59,R_3MmrW2GK6nu57J2,,,,,36.0756072998046875,-79.091400146484375,anonymous,EN,I consent,2,6-1-13276-29876-11987-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,25 - 34,No,White,4 year degree,Never married,Employed full time,"$40,000 - $49,999",Right,27278,63966037
2019-04-13 11:30:43,2019-04-13 11:35:31,IP Address,82.36.221.78,100,287,True,2019-04-13 11:35:31,R_eLPhiFcCvNJ92G5,,,,,51.5435028076171875,-0.1732940673828125,anonymous,EN,I consent,7,1-5-12047-9731-1555176770409-L,No,No,No,Moderately satisfied,Moderately intuitive,Male,18 - 24,No,White,4 year degree,Never married,Student,"$10,000 - $19,999",Right,na,67122613
2019-04-13 11:34:38,2019-04-13 11:39:31,IP Address,172.113.244.96,100,293,True,2019-04-13 11:39:32,R_29iHmgRVkZmqRM4,,,,,34.0446929931640625,-118.448699951171875,anonymous,EN,I consent,2,0-5-10084-9565-6792-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,35 - 44,No,White,4 year degree,Never married,Employed full time,"$60,000 - $69,999",Right,90025,35343940
