OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
4011,8153,SE Powell Blvd MAX Station,http://trimet.org/max/stations.htm,13126,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.495868,-122.566257,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,3618 SE 92ND AVE,PORTLAND,OR,97266,SE Powell Blvd MAX Station - TRIMET
4012,8154,SE Holgate Blvd MAX Station,http://trimet.org/max/stations.htm,13127,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.49124,-122.566309,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9369 SE HOLGATE BLVD,PORTLAND,OR,97266,SE Holgate Blvd MAX Station - TRIMET
4013,8155,Lents/SE Foster Rd MAX Station,http://trimet.org/max/stations.htm,13128,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.48043563,-122.5668529,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,ELEVATED,9451 SE FOSTER RD,PORTLAND,OR,97266,Lents/SE Foster Rd MAX Station - TRIMET
4014,8156,SE Flavel St MAX Station,http://trimet.org/max/stations.htm,13129,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.467969,-122.566641,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9648 SE FLAVEL ST,PORTLAND,OR,97266,SE Flavel St MAX Station - TRIMET
4015,8157,SE Fuller Rd MAX Station,http://trimet.org/max/stations.htm,13130,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.45329179,-122.5736432,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9608 SE FULLER RD,HAPPY VALLEY,OR,97086,SE Fuller Rd MAX Station - TRIMET
4016,8158,Clackamas Town Center TC MAX Station,http://trimet.org/max/stations.htm,13132,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.435654,-122.567797,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9225 SE SUNNYSIDE RD,CLACKAMAS,OR,97086,Clackamas Town Center TC MAX Station - TRIMET
4017,8159,Beaverton TC WES Station,http://trimet.org/wes/index.htm,13066,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.490623,-122.80112,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,4050 SW LOMBARD AVE,BEAVERTON,OR,97005,Beaverton TC WES Station - TRIMET
4018,8160,Hall/Nimbus WES Station,http://trimet.org/wes/index.htm,13067,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.4575555,-122.7870443,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,8505 SW CASCADE AVE,BEAVERTON,OR,97008,Hall/Nimbus WES Station - TRIMET
4019,8161,Tigard TC WES Station,http://trimet.org/wes/index.htm,13068,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.430107,-122.769635,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,8960 SW COMMERCIAL ST,TIGARD,OR,97223,Tigard TC WES Station - TRIMET
4020,8162,Tualatin WES Station,http://trimet.org/wes/index.htm,13069,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.3836265,-122.764444,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,18955 SW BOONES FERRY RD,TUALATIN,OR,97062,Tualatin WES Station - TRIMET
4021,8163,Wilsonville WES Station,http://trimet.org/wes/index.htm,13070,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.311358,-122.775247,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9699 SW BARBER ST,WILSONVILLE,OR,97070,Wilsonville WES Station - TRIMET
4022,8164,Lincoln St/SW 3rd Ave MAX Station,http://trimet.org/max/stations.htm,13710,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.50789779,-122.6805162,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,229 SW LINCOLN ST,PORTLAND,OR,97201,Lincoln St/SW 3rd Ave MAX Station - TRIMET
4023,8165,South Waterfront/SW Moody MAX Station,http://trimet.org/max/stations.htm,13711,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.50252332,-122.6716078,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,698 SW PORTER ST,PORTLAND,OR,97201,South Waterfront/SW Moody MAX Station - TRIMET
4024,8166,OMSI/SE Water MAX Station,http://trimet.org/max/stations.htm,13712,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.50651685,-122.662541,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,2210 SE 2ND PL,PORTLAND,OR,97214,OMSI/SE Water MAX Station - TRIMET
4025,8167,Clinton St/SE 12th Ave MAX Station,http://trimet.org/max/stations.htm,13713,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.502707,-122.653205,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,1229 SE GIDEON,PORTLAND,OR,97202,Clinton St/SE 12th Ave MAX Station - TRIMET
4026,8168,SE 17th Ave & Rhine St MAX Station,http://trimet.org/max/stations.htm,13714,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.49792447,-122.6482075,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,3424 SE 17TH AVE,PORTLAND,OR,97202,SE 17th Ave & Rhine St MAX Station - TRIMET
4027,8169,SE 17th Ave & Holgate Blvd MAX Station,http://trimet.org/max/stations.htm,13715,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.49084842,-122.6485657,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,4410 SE 17TH AVE,PORTLAND,OR,97202,SE 17th Ave & Holgate Blvd MAX Station - TRIMET
4028,8170,SE Bybee Blvd MAX Station,http://trimet.org/max/stations.htm,13716,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.474439,-122.639977,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,2399 SE BYBEE BLVD,PORTLAND,OR,97202,SE Bybee Blvd MAX Station - TRIMET
4029,8171,SE Tacoma/Johnson Creek MAX Station,http://trimet.org/max/stations.htm,13717,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.46289411,-122.6378597,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,8300 SE MCLOUGHLIN BLVD,PORTLAND,OR,97202,SE Tacoma/Johnson Creek MAX Station - TRIMET
4030,8172,Milwaukie/Main St MAX Station,http://trimet.org/max/stations.htm,13718,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.441337,-122.639928,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,11301 SE 21ST AVE,MILWAUKIE,OR,97222,Milwaukie/Main St MAX Station - TRIMET
4031,8173,SE Park Ave MAX Station,http://trimet.org/max/stations.htm,13720,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.430686,-122.635112,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,2735 SE PARK AVE,PORTLAND,OR,97222,SE Park Ave MAX Station - TRIMET
4032,9015001,Columbus Ave & Chestnut St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/4104,4104,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80341103,-122.4147032,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,COLUMBUS AVE & CHESTNUT ST,SAN FRANCISCO,CA,94133,Columbus Ave & Chestnut St - MUNI
4033,9015002,Columbus Ave & Lombard St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/4113,4113,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80267022,-122.4136237,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,COLUMBUS AVE & LOMBARD ST,SAN FRANCISCO,CA,94133,Columbus Ave & Lombard St - MUNI
4034,9015003,Mason St & Broadway,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5355,5355,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.797271,-122.411917,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & BROADWAY,SAN FRANCISCO,CA,94133,Mason St & Broadway - MUNI
4035,9015004,Mason St & Filbert St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5358,5358,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80092127,-122.4126532,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & FILBERT ST,SAN FRANCISCO,CA,94133,Mason St & Filbert St - MUNI
4036,9015005,Mason St & Greenwich St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5360,5360,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80183296,-122.4128449,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & GREENWICH ST,SAN FRANCISCO,CA,94133,Mason St & Greenwich St - MUNI
4037,9015006,Mason St & Green St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5362,5362,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79904137,-122.4122732,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & GREEN ST,SAN FRANCISCO,CA,94133,Mason St & Green St - MUNI
4038,9015007,Mason St & Jackson St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5364,5364,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79557879,-122.4115826,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & JACKSON ST,SAN FRANCISCO,CA,94133,Mason St & Jackson St - MUNI
4039,9015008,Mason St & Pacific Ave,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5366,5366,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79624551,-122.411714,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & PACIFIC AVE,SAN FRANCISCO,CA,94133,Mason St & Pacific Ave - MUNI
4040,9015009,Mason St & Union St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5368,5368,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79995439,-122.4124611,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & UNION ST,SAN FRANCISCO,CA,94133,Mason St & Union St - MUNI
4041,9015010,Mason St & Vallejo St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5370,5370,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79822013,-122.4121113,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & VALLEJO ST,SAN FRANCISCO,CA,94133,Mason St & Vallejo St - MUNI
4042,9015011,Mason St & Washington St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/5372,5372,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79459381,-122.4113829,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,MASON ST & WASHINGTON ST,SAN FRANCISCO,CA,94108,Mason St & Washington St - MUNI
4043,9015012,Powell St & Bush St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6047,6047,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79009116,-122.40878,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & BUSH ST,SAN FRANCISCO,CA,94108,Powell St & Bush St - MUNI
4044,9015013,Powell St & California St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6049,6049,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79213674,-122.4092005,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & CALIFORNIA ST,SAN FRANCISCO,CA,94108,Powell St & California St - MUNI
4045,9015014,Powell St & Clay St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6051,6051,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79375499,-122.4095344,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & CLAY ST,SAN FRANCISCO,CA,94108,Powell St & Clay St - MUNI
4046,9015015,Powell St & Geary Blvd,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6057,6057,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.787357,-122.408231,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & GEARY BLVD,SAN FRANCISCO,CA,94102,Powell St & Geary Blvd - MUNI
4047,9015016,Powell St & Jackson St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6059,6059,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79533618,-122.4098468,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & JACKSON ST,SAN FRANCISCO,CA,94108,Powell St & Jackson St - MUNI
4048,9015017,Powell St & Market St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6063,6063,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.78470788,-122.4077071,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & MARKET ST,SAN FRANCISCO,CA,94102,Powell St & Market St - MUNI
4049,9015018,Powell St & O'Farrell St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6067,6067,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.786402,-122.408036,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & O'FARRELL ST,SAN FRANCISCO,CA,94102,Powell St & O'Farrell St - MUNI
4050,9015019,Powell St & Pine St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6069,6069,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.791087,-122.408985,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & PINE ST,SAN FRANCISCO,CA,94108,Powell St & Pine St - MUNI
4051,9015020,Powell St & Post St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6071,6071,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.788285,-122.408402,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & POST ST,SAN FRANCISCO,CA,94102,Powell St & Post St - MUNI
4052,9015021,Powell St & Sacramento St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6073,6073,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.792969,-122.409363,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & SACRAMENTO ST,SAN FRANCISCO,CA,94108,Powell St & Sacramento St - MUNI
4053,9015022,Powell St & Sutter St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6075,6075,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.78913581,-122.4085782,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & SUTTER ST,SAN FRANCISCO,CA,94102,Powell St & Sutter St - MUNI
4054,9015023,Powell St & Washington St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6077,6077,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79460738,-122.4097052,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,POWELL ST & WASHINGTON ST,SAN FRANCISCO,CA,94108,Powell St & Washington St - MUNI
4055,9015024,Taylor St & Bay St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6642,6642,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80520456,-122.4152038,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,TAYLOR ST & BAY ST,SAN FRANCISCO,CA,94133,Taylor St & Bay St - MUNI
4056,9015025,Taylor St & Columbus Ave,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6645,6645,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80374726,-122.4149242,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,TAYLOR ST & COLUMBUS AVE,SAN FRANCISCO,CA,94133,Taylor St & Columbus Ave - MUNI
4057,9015026,Taylor St & Francisco St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6646,6646,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.804472,-122.415055,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,TAYLOR ST & FRANCISCO ST,SAN FRANCISCO,CA,94133,Taylor St & Francisco St - MUNI
4058,9015027,Washington St & Mason St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6924,6924,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.79453108,-122.411298,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,WASHINGTON ST & MASON ST,SAN FRANCISCO,CA,94108,Washington St & Mason St - MUNI
4059,9015028,Washington St & Powell St,https://www.sfmta.com/getting-around/transit/routes-stops/stops/6927,6927,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.7947007,-122.4099412,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,WASHINGTON ST & POWELL ST,SAN FRANCISCO,CA,94108,Washington St & Powell St - MUNI
4060,9015029,COLUMBUS AVE & CHESTNUT ST,https://www.sfmta.com/getting-around/transit/routes-stops/stops/7181,7181,MUNI,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY DBA: MUNI,9015,37.80297478,-122.414067,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,https://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,2015-11-01T00:00:00.000Z,GROUND,COLUMBUS AVE AND CHESTNUT ST,SAN FRANCISCO,CA,94133,COLUMBUS AVE & CHESTNUT ST - MUNI
